epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,31027,0.80856,0.42672,1.0205,0.99405,0.99426,0.99496,0.90234,0.51755,0.19792,0.81138,0.004456,0.004456,0.004456
58,31570.8,0.80455,0.42391,1.01792,0.99424,0.9939,0.99497,0.90188,0.51674,0.19801,0.81109,0.004357,0.004357,0.004357
59,32113.8,0.8023,0.42261,1.01702,0.99424,0.9938,0.99497,0.90225,0.51628,0.19704,0.81097,0.004258,0.004258,0.004258
60,32659.1,0.80218,0.42158,1.01767,0.99421,0.99389,0.99497,0.9026,0.51575,0.19655,0.81072,0.004159,0.004159,0.004159
61,33201.4,0.79384,0.4179,1.01301,0.9942,0.99317,0.99497,0.90264,0.51536,0.19608,0.81058,0.00406,0.00406,0.00406
62,33746,0.79584,0.41648,1.01583,0.99418,0.994,0.99497,0.9025,0.51509,0.19508,0.81055,0.003961,0.003961,0.003961
63,34278.3,0.79342,0.41564,1.01469,0.992,0.99598,0.99497,0.90317,0.51443,0.19448,0.81036,0.003862,0.003862,0.003862
64,34822.6,0.78552,0.41105,1.01077,0.99137,0.99664,0.99496,0.9026,0.51423,0.19444,0.81027,0.003763,0.003763,0.003763
65,35365.1,0.78494,0.40989,1.01051,0.99618,0.99155,0.99496,0.90378,0.51358,0.19425,0.81014,0.003664,0.003664,0.003664
66,35908.9,0.78249,0.40869,1.00986,0.99555,0.99283,0.99496,0.90324,0.51306,0.1936,0.80998,0.003565,0.003565,0.003565
67,36453.3,0.77924,0.40536,1.00759,0.99559,0.99239,0.99496,0.90388,0.51219,0.19335,0.80987,0.003466,0.003466,0.003466
68,36981,0.77858,0.40618,1.00861,0.99553,0.99261,0.99496,0.90403,0.51138,0.19257,0.8097,0.003367,0.003367,0.003367
69,37503.8,0.77634,0.40349,1.00758,0.99531,0.99353,0.99496,0.90416,0.51067,0.19208,0.80954,0.003268,0.003268,0.003268
70,38046.5,0.77018,0.3993,1.00378,0.99264,0.99563,0.99497,0.90427,0.5099,0.19182,0.80948,0.003169,0.003169,0.003169
71,38585.5,0.76606,0.39771,1.00221,0.99265,0.9956,0.99497,0.90502,0.50904,0.19139,0.80923,0.00307,0.00307,0.00307
72,39111.4,0.76329,0.39431,1.00093,0.99265,0.99564,0.99496,0.90539,0.50857,0.19072,0.80903,0.002971,0.002971,0.002971
73,39655.7,0.76319,0.39299,1.00139,0.9915,0.99702,0.99495,0.9064,0.50764,0.19012,0.80881,0.002872,0.002872,0.002872
74,40173.4,0.75504,0.38915,0.99836,0.99158,0.99699,0.99495,0.90635,0.50703,0.1896,0.80874,0.002773,0.002773,0.002773
75,40691.4,0.75365,0.38985,0.99783,0.99591,0.99389,0.99495,0.907,0.50591,0.18881,0.80849,0.002674,0.002674,0.002674
76,41234.3,0.75338,0.38581,0.99955,0.99571,0.99392,0.99495,0.90687,0.50534,0.18861,0.80831,0.002575,0.002575,0.002575
77,41780,0.74745,0.38352,0.99616,0.99512,0.9943,0.99495,0.90715,0.50476,0.18804,0.80816,0.002476,0.002476,0.002476
78,42325,0.74475,0.38088,0.99431,0.99313,0.99646,0.99495,0.90711,0.5038,0.18773,0.808,0.002377,0.002377,0.002377
79,42866.5,0.74086,0.37948,0.99231,0.99313,0.9966,0.99495,0.90731,0.50327,0.18765,0.80785,0.002278,0.002278,0.002278
80,43389.9,0.73565,0.37752,0.9914,0.99313,0.99637,0.99495,0.90786,0.50244,0.18756,0.80766,0.002179,0.002179,0.002179
81,43915.8,0.73543,0.37462,0.99304,0.99311,0.9965,0.99495,0.90723,0.50194,0.18726,0.80756,0.00208,0.00208,0.00208
82,44460,0.73167,0.37294,0.99095,0.9935,0.99638,0.99495,0.90707,0.50147,0.18679,0.8074,0.001981,0.001981,0.001981
83,44995.8,0.72656,0.36824,0.98694,0.9935,0.99645,0.99495,0.90778,0.50091,0.18658,0.8072,0.001882,0.001882,0.001882
84,45517.5,0.72496,0.36635,0.98737,0.9935,0.99644,0.99496,0.90834,0.50036,0.18615,0.80705,0.001783,0.001783,0.001783
85,46060.5,0.72439,0.36374,0.98721,0.99507,0.99477,0.99496,0.90801,0.49955,0.1854,0.80686,0.001684,0.001684,0.001684
86,46601.8,0.71661,0.36317,0.9831,0.99501,0.99494,0.99496,0.90893,0.49914,0.18479,0.80673,0.001585,0.001585,0.001585
87,47144.4,0.7132,0.36099,0.98428,0.99501,0.9949,0.99496,0.90894,0.49863,0.18444,0.80663,0.001486,0.001486,0.001486
88,47689.9,0.70746,0.35535,0.98045,0.99536,0.99412,0.99495,0.90915,0.49824,0.18452,0.80653,0.001387,0.001387,0.001387
89,48234,0.7049,0.35374,0.97971,0.99508,0.99486,0.99496,0.90906,0.49778,0.18447,0.80639,0.001288,0.001288,0.001288
90,48777.5,0.70161,0.35224,0.97783,0.99536,0.99431,0.99495,0.90952,0.49728,0.18411,0.80627,0.001189,0.001189,0.001189
91,49367.6,0.58928,0.24477,0.91749,0.99613,0.9942,0.99496,0.90907,0.49685,0.18355,0.8062,0.00109,0.00109,0.00109
92,49895.5,0.58041,0.24072,0.91424,0.99626,0.9942,0.99496,0.91006,0.49617,0.18332,0.80606,0.000991,0.000991,0.000991
93,50419.5,0.57043,0.23581,0.90766,0.99618,0.99415,0.99496,0.91017,0.49558,0.18327,0.80593,0.000892,0.000892,0.000892
94,50943,0.56526,0.23243,0.90608,0.99647,0.9939,0.99497,0.91024,0.49487,0.18235,0.8058,0.000793,0.000793,0.000793
95,51466.5,0.5586,0.22909,0.90285,0.99654,0.99393,0.99497,0.91111,0.4943,0.18231,0.80571,0.000694,0.000694,0.000694
96,51981.4,0.55383,0.22612,0.90158,0.99659,0.99391,0.99496,0.91142,0.49334,0.1818,0.80557,0.000595,0.000595,0.000595
97,52498.9,0.54636,0.2219,0.89593,0.99664,0.99391,0.99496,0.91148,0.49283,0.18115,0.80544,0.000496,0.000496,0.000496
98,53013,0.54051,0.21949,0.89427,0.99664,0.99389,0.99496,0.91125,0.49199,0.18133,0.80529,0.000397,0.000397,0.000397
99,53531.1,0.53573,0.21625,0.89268,0.99674,0.99382,0.99496,0.91178,0.49106,0.18138,0.80506,0.000298,0.000298,0.000298
100,54074.4,0.53099,0.21231,0.89164,0.99676,0.99383,0.99496,0.91185,0.49046,0.18098,0.80489,0.000199,0.000199,0.000199
